month  ;     ME1;     ME2;     ME3;     ME4;     ME5;     ME6;     ME7;     ME8;     ME9;    ME10
1954-09;0.141137;0.031784;0.000000;0.000000;0.275299;0.192076;0.037431;0.000000;0.225455;0.096819
1954-10;0.052696;0.400000;0.000000;0.400000;0.000000;0.063202;0.000000;0.073051;0.000000;0.011052
1954-11;0.208459;0.190874;0.000000;0.000000;0.000000;0.269046;0.000000;0.056278;0.139661;0.135682
1954-12;0.000000;0.007860;0.000000;0.253619;0.188442;0.207412;0.325655;0.017012;0.000000;0.000000
1955-01;0.244460;0.024477;0.000000;0.389151;0.080903;0.095277;0.000000;0.039362;0.000000;0.126370
1955-02;0.045611;0.102480;0.000000;0.400000;0.143958;0.000000;0.284072;0.000000;0.023879;0.000000
1955-03;0.154359;0.182264;0.000000;0.000000;0.195408;0.000000;0.400000;0.067969;0.000000;0.000000
1955-04;0.027872;0.300219;0.000000;0.000000;0.095371;0.000000;0.263290;0.008023;0.214968;0.090257
1955-05;0.086305;0.190482;0.000000;0.400000;0.037652;0.000000;0.000000;0.000000;0.087911;0.197650
1955-06;0.126093;0.297317;0.000000;0.000000;0.000000;0.000000;0.271341;0.151999;0.000000;0.153250
1955-07;0.231748;0.029721;0.000000;0.128917;0.157742;0.329747;0.019497;0.078784;0.023843;0.000000
1955-08;0.000000;0.248242;0.000000;0.400000;0.017245;0.015739;0.000000;0.000000;0.270169;0.048605
1955-09;0.055017;0.025446;0.000000;0.036755;0.098711;0.400000;0.291705;0.000000;0.092365;0.000000
1955-10;0.154309;0.261457;0.000000;0.000000;0.089190;0.254608;0.157845;0.002743;0.079849;0.000000
1955-11;0.006088;0.316188;0.000000;0.000000;0.000000;0.222854;0.000000;0.000000;0.255042;0.199828
1955-12;0.400000;0.000000;0.028299;0.084606;0.022015;0.117153;0.070516;0.087441;0.112691;0.077279
1956-01;0.269483;0.086043;0.000000;0.000000;0.000000;0.051341;0.360970;0.194071;0.007448;0.030643
1956-02;0.400000;0.000000;0.400000;0.000000;0.142001;0.000000;0.014080;0.008295;0.000000;0.035623
1956-03;0.395667;0.000000;0.000000;0.084827;0.184684;0.264336;0.017101;0.015636;0.015517;0.022234
1956-04;0.376577;0.000000;0.000000;0.111422;0.000000;0.064549;0.009035;0.400000;0.008242;0.030176
1956-05;0.215856;0.191344;0.000000;0.000000;0.121947;0.000000;0.000000;0.000000;0.393869;0.076985
1956-06;0.195928;0.172225;0.000000;0.000000;0.227750;0.000000;0.400000;0.000000;0.000000;0.004097
1956-07;0.400000;0.000000;0.359856;0.018109;0.048556;0.037973;0.019276;0.040744;0.034494;0.040992
1956-08;0.051987;0.000000;0.037260;0.098340;0.099534;0.128154;0.083181;0.119473;0.167154;0.214917
1956-09;0.018551;0.330475;0.000000;0.107614;0.202209;0.000000;0.341151;0.000000;0.000000;0.000000
1956-10;0.308561;0.152566;0.000000;0.000000;0.237093;0.226081;0.022239;0.032649;0.011534;0.009278
1956-11;0.081598;0.000000;0.000000;0.075508;0.125836;0.122793;0.086173;0.147412;0.136804;0.223875
1956-12;0.110193;0.080576;0.026524;0.101993;0.071030;0.109977;0.081683;0.137499;0.181068;0.099457
1957-01;0.262369;0.400000;0.000000;0.124423;0.000000;0.000000;0.105561;0.095655;0.000000;0.011992
1957-02;0.297602;0.169919;0.000000;0.000000;0.000000;0.000000;0.332639;0.000000;0.175162;0.024678
1957-03;0.080687;0.000000;0.000000;0.087050;0.111720;0.163151;0.125079;0.174285;0.166470;0.091556
1957-04;0.167932;0.000000;0.060114;0.081009;0.131927;0.113947;0.102623;0.141405;0.100613;0.100429
1957-05;0.045455;0.000000;0.116671;0.400000;0.053729;0.000000;0.267672;0.000000;0.097198;0.019275
1957-06;0.143343;0.373430;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.400000;0.083226
1957-07;0.181690;0.394394;0.000000;0.000000;0.000000;0.000000;0.400000;0.000000;0.023916;0.000000
1957-08;0.400000;0.000000;0.000000;0.400000;0.093180;0.043058;0.026651;0.014692;0.014320;0.008099
1957-09;0.318024;0.236891;0.000000;0.061170;0.027451;0.078679;0.068312;0.071413;0.080225;0.057835
1957-10;0.181998;0.000000;0.037202;0.173290;0.161760;0.244689;0.098329;0.000000;0.066366;0.036367
1957-11;0.029844;0.395646;0.000000;0.243399;0.046217;0.031264;0.038555;0.035304;0.136481;0.043291
1957-12;0.000000;0.000000;0.000000;0.133999;0.110803;0.133803;0.131981;0.141598;0.145447;0.202369
1958-01;0.147167;0.102481;0.154226;0.120774;0.113527;0.103891;0.075978;0.070495;0.071367;0.040093
1958-02;0.000000;0.077599;0.121435;0.254402;0.194019;0.073016;0.264323;0.000000;0.000000;0.015206
1958-03;0.074426;0.035340;0.076361;0.087108;0.100177;0.112175;0.128278;0.131484;0.036534;0.218118
1958-04;0.400000;0.400000;0.000000;0.000000;0.082048;0.000000;0.000000;0.000000;0.000000;0.117952
1958-05;0.009901;0.011949;0.400000;0.000000;0.017514;0.000000;0.376200;0.174640;0.008382;0.001414
1958-06;0.196592;0.346809;0.000000;0.000000;0.000000;0.000000;0.139289;0.000000;0.317309;0.000000
1958-07;0.400000;0.000000;0.000000;0.000000;0.024242;0.057713;0.171544;0.064807;0.147391;0.134303
1958-08;0.123040;0.370282;0.000000;0.000000;0.074335;0.040887;0.193803;0.062398;0.082291;0.052964
1958-09;0.284846;0.000000;0.000000;0.192241;0.059080;0.150931;0.055251;0.095315;0.162337;0.000000
1958-10;0.136897;0.141307;0.229536;0.129042;0.068672;0.033284;0.166663;0.000000;0.094598;0.000000
1958-11;0.196977;0.002152;0.000000;0.231748;0.000000;0.000000;0.159711;0.000000;0.400000;0.009412
1958-12;0.251792;0.214539;0.000000;0.000000;0.000000;0.000000;0.084381;0.067440;0.381847;0.000000
1959-01;0.044906;0.400000;0.000000;0.000000;0.000000;0.000000;0.000000;0.400000;0.120490;0.034604
1959-02;0.138452;0.138623;0.000000;0.000000;0.000000;0.000000;0.398867;0.000000;0.290369;0.033690
1959-03;0.227929;0.087256;0.000000;0.000000;0.192679;0.174802;0.115662;0.085513;0.116160;0.000000
1959-04;0.148152;0.193121;0.000000;0.000000;0.000000;0.000000;0.332301;0.326425;0.000000;0.000000
1959-05;0.185434;0.028373;0.000000;0.163215;0.000000;0.247514;0.338838;0.000000;0.000000;0.036625
1959-06;0.083655;0.132652;0.000000;0.400000;0.000000;0.188683;0.123921;0.000000;0.071089;0.000000
1959-07;0.016696;0.000000;0.000000;0.400000;0.000000;0.037980;0.400000;0.000000;0.145324;0.000000
1959-08;0.156910;0.010356;0.047215;0.109980;0.000000;0.000000;0.231536;0.090491;0.353513;0.000000
1959-09;0.095751;0.045426;0.000000;0.400000;0.000000;0.102307;0.000000;0.000000;0.254652;0.101864
1959-10;0.015539;0.000000;0.000000;0.184461;0.000000;0.400000;0.400000;0.000000;0.000000;0.000000
1959-11;0.000000;0.000000;0.000000;0.049253;0.075032;0.400000;0.145178;0.217191;0.113346;0.000000
1959-12;0.106519;0.000000;0.065197;0.083426;0.036604;0.184760;0.076676;0.118314;0.134758;0.193745
1960-01;0.014324;0.400000;0.307844;0.000000;0.000000;0.000000;0.254641;0.006601;0.000000;0.016590
1960-02;0.177407;0.211028;0.000000;0.009446;0.147462;0.400000;0.035131;0.000000;0.010813;0.008712
1960-03;0.000000;0.400000;0.000000;0.063789;0.072921;0.096419;0.070980;0.100089;0.141053;0.054748
1960-04;0.146996;0.000000;0.034329;0.091856;0.000000;0.116449;0.070068;0.142170;0.109456;0.288675
1960-05;0.000947;0.400000;0.212782;0.000000;0.000000;0.000000;0.000000;0.000000;0.370817;0.015454
1960-06;0.400000;0.000000;0.000000;0.000000;0.000000;0.000000;0.400000;0.187525;0.012475;0.000000
1960-07;0.115840;0.165316;0.195431;0.114149;0.017770;0.063537;0.000000;0.034157;0.076616;0.217185
1960-08;0.198997;0.288547;0.019296;0.161110;0.157800;0.000000;0.111914;0.062336;0.000000;0.000000
1960-09;0.040990;0.048368;0.263090;0.105643;0.056473;0.000000;0.060688;0.400000;0.023616;0.001133
1960-10;0.010678;0.000000;0.400000;0.035132;0.020716;0.050705;0.030389;0.000000;0.331818;0.120561
1960-11;0.000000;0.000000;0.000000;0.261187;0.242790;0.000000;0.200677;0.182810;0.049370;0.063166
1960-12;0.150686;0.000000;0.009018;0.093632;0.121256;0.140641;0.122607;0.136108;0.132989;0.093063
1961-01;0.154284;0.000000;0.011635;0.189942;0.109490;0.056059;0.118170;0.124944;0.210567;0.024908
1961-02;0.013366;0.014534;0.000000;0.400000;0.248179;0.000000;0.056711;0.000000;0.000000;0.267211
1961-03;0.019250;0.035806;0.000000;0.076856;0.025506;0.400000;0.400000;0.042582;0.000000;0.000000
1961-04;0.200000;0.400000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.400000;0.000000
1961-05;0.020441;0.016188;0.400000;0.000000;0.000000;0.075294;0.000000;0.260651;0.000000;0.227425
1961-06;0.192576;0.171870;0.000000;0.000000;0.000000;0.104557;0.199449;0.082520;0.249029;0.000000
1961-07;0.400000;0.000000;0.000000;0.000000;0.012934;0.247323;0.000000;0.284414;0.038484;0.016845
1961-08;0.000000;0.186792;0.000000;0.126046;0.119339;0.142198;0.139796;0.108897;0.087036;0.089897
1961-09;0.023700;0.000000;0.035627;0.080726;0.073573;0.127211;0.110552;0.186648;0.163615;0.198348
1961-10;0.000000;0.020659;0.000000;0.047057;0.003325;0.353886;0.040760;0.134313;0.400000;0.000000
1961-11;0.077438;0.051922;0.087984;0.049823;0.053712;0.236237;0.096511;0.235738;0.000000;0.110634
1961-12;0.004741;0.043492;0.041475;0.064662;0.045631;0.000000;0.400000;0.400000;0.000000;0.000000
1962-01;0.109244;0.103945;0.144261;0.242550;0.000000;0.400000;0.000000;0.000000;0.000000;0.000000
1962-02;0.129343;0.000000;0.099167;0.042958;0.124054;0.259363;0.000000;0.000000;0.274489;0.070627
1962-03;0.327578;0.000000;0.000000;0.000000;0.036700;0.400000;0.052662;0.071473;0.088586;0.023001
1962-04;0.159962;0.000000;0.000000;0.329858;0.000000;0.263424;0.145954;0.023907;0.056195;0.020700
1962-05;0.221859;0.145289;0.115938;0.142873;0.091534;0.131716;0.000000;0.071491;0.079300;0.000000
1962-06;0.000000;0.000000;0.000000;0.090474;0.132459;0.132207;0.194033;0.152069;0.114233;0.184525
1962-07;0.000000;0.000000;0.000000;0.042124;0.094275;0.108370;0.091060;0.152294;0.225159;0.286718
1962-08;0.054979;0.052605;0.082950;0.119384;0.120206;0.145175;0.106706;0.118467;0.105445;0.094083
1962-09;0.121740;0.139304;0.150918;0.125944;0.127245;0.076451;0.125115;0.016802;0.022510;0.093970
1962-10;0.181925;0.400000;0.146503;0.067709;0.128924;0.000000;0.074940;0.000000;0.000000;0.000000
1962-11;0.000000;0.000000;0.000000;0.000000;0.259302;0.340698;0.400000;0.000000;0.000000;0.000000
1962-12;0.000000;0.025630;0.039346;0.118860;0.121831;0.167561;0.096801;0.141489;0.181761;0.106721
1963-01;0.294584;0.152491;0.215488;0.235187;0.102250;0.000000;0.000000;0.000000;0.000000;0.000000
1963-02;0.000000;0.251279;0.000000;0.000000;0.327197;0.000000;0.400000;0.000000;0.000000;0.021523
1963-03;0.092469;0.000000;0.000000;0.000000;0.076431;0.005974;0.162110;0.000000;0.263015;0.400000
1963-04;0.021712;0.000000;0.085466;0.116913;0.109616;0.119208;0.081040;0.152661;0.174180;0.139205
1963-05;0.264802;0.161282;0.114643;0.000000;0.000000;0.000000;0.000000;0.020372;0.143068;0.295832
1963-06;0.144247;0.160576;0.000000;0.000000;0.107575;0.000000;0.390718;0.000000;0.196883;0.000000
1963-07;0.400000;0.000000;0.000000;0.344687;0.048432;0.023156;0.026804;0.035917;0.066349;0.054655
1963-08;0.071260;0.109420;0.066775;0.107583;0.061161;0.115042;0.087490;0.160983;0.113699;0.106586
1963-09;0.000000;0.001694;0.099686;0.088444;0.086094;0.147820;0.089810;0.130230;0.138555;0.217667
1963-10;0.043858;0.056445;0.054986;0.400000;0.029421;0.000000;0.015290;0.000000;0.400000;0.000000
1963-11;0.000000;0.011796;0.322251;0.388033;0.000000;0.153910;0.000000;0.043893;0.052832;0.027285
1963-12;0.144182;0.114309;0.000000;0.000000;0.000000;0.000000;0.384637;0.000000;0.353434;0.003437
1964-01;0.400000;0.060985;0.000000;0.051180;0.102347;0.033672;0.003185;0.068452;0.280180;0.000000
1964-02;0.015990;0.047395;0.062135;0.000000;0.400000;0.119767;0.003840;0.000000;0.048491;0.302382
1964-03;0.117128;0.241800;0.000000;0.113033;0.000000;0.008672;0.000000;0.000000;0.400000;0.119366
1964-04;0.100611;0.082782;0.000000;0.116334;0.000000;0.000000;0.112922;0.381575;0.205776;0.000000
1964-05;0.174892;0.339065;0.000000;0.071746;0.085904;0.053142;0.053787;0.048600;0.038448;0.134414
1964-06;0.000000;0.000000;0.000000;0.000000;0.323444;0.136113;0.400000;0.000000;0.000000;0.140443
1964-07;0.185490;0.016504;0.000000;0.164372;0.000000;0.000000;0.363444;0.000000;0.270188;0.000000
1964-08;0.238753;0.069442;0.000000;0.000000;0.000000;0.119412;0.172392;0.000000;0.400000;0.000000
1964-09;0.191882;0.126771;0.000000;0.000000;0.000000;0.000000;0.400000;0.000000;0.276533;0.004814
1964-10;0.020985;0.017079;0.000000;0.213778;0.136200;0.000000;0.400000;0.211959;0.000000;0.000000
1964-11;0.061503;0.022682;0.000000;0.030330;0.000000;0.085485;0.400000;0.000000;0.400000;0.000000
1964-12;0.000000;0.000000;0.000000;0.400000;0.183934;0.000000;0.000000;0.272332;0.000000;0.143735
1965-01;0.366541;0.104846;0.000000;0.000000;0.000000;0.000000;0.362413;0.000000;0.065872;0.100328
1965-02;0.114039;0.000000;0.000000;0.092551;0.000000;0.000000;0.400000;0.000000;0.393410;0.000000
1965-03;0.142356;0.070745;0.136076;0.063040;0.000000;0.221305;0.062435;0.149203;0.154839;0.000000
1965-04;0.030410;0.400000;0.166705;0.000000;0.000000;0.000000;0.400000;0.000677;0.002208;0.000000
1965-05;0.215009;0.000000;0.000000;0.000000;0.162855;0.000000;0.400000;0.214191;0.000000;0.007944
1965-06;0.311052;0.051290;0.000000;0.025282;0.000000;0.000000;0.212376;0.000000;0.400000;0.000000
1965-07;0.210426;0.066609;0.086591;0.149804;0.165838;0.249187;0.034055;0.024006;0.013484;0.000000
1965-08;0.000000;0.110715;0.000000;0.000000;0.325644;0.163641;0.400000;0.000000;0.000000;0.000000
1965-09;0.041046;0.000000;0.021669;0.083878;0.077855;0.129999;0.107803;0.164094;0.185742;0.187915
1965-10;0.248491;0.294156;0.254847;0.054886;0.147620;0.000000;0.000000;0.000000;0.000000;0.000000
1965-11;0.008546;0.015818;0.284395;0.000000;0.270415;0.000000;0.273522;0.000000;0.060333;0.086971
1965-12;0.042081;0.224105;0.000000;0.000000;0.279019;0.000000;0.205410;0.061064;0.142183;0.046137
1966-01;0.282309;0.125444;0.307252;0.040907;0.003703;0.053884;0.000000;0.124578;0.016748;0.045175
1966-02;0.255200;0.186518;0.084388;0.000000;0.000000;0.000000;0.000000;0.053285;0.394805;0.025804
1966-03;0.400000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.400000;0.135733;0.064267
1966-04;0.400000;0.000000;0.032485;0.128478;0.010362;0.107303;0.068472;0.089823;0.061479;0.101598
1966-05;0.074119;0.045800;0.090441;0.105821;0.057530;0.122056;0.041970;0.142177;0.177695;0.142390
1966-06;0.071201;0.044070;0.075414;0.116767;0.098799;0.158023;0.115897;0.112977;0.095047;0.111805
1966-07;0.000000;0.336789;0.000000;0.036486;0.035628;0.400000;0.025924;0.165173;0.000000;0.000000
1966-08;0.067165;0.031008;0.000000;0.094405;0.088348;0.134189;0.094003;0.261219;0.220734;0.008928
1966-09;0.000000;0.045638;0.058577;0.195023;0.127830;0.182812;0.129837;0.080134;0.104078;0.076070
1966-10;0.000000;0.162450;0.010785;0.051232;0.237572;0.130048;0.101046;0.306866;0.000000;0.000000
1966-11;0.037983;0.040038;0.066894;0.106273;0.093435;0.144073;0.133632;0.169444;0.132570;0.075659
1966-12;0.118545;0.033384;0.000000;0.400000;0.048071;0.000000;0.000000;0.000000;0.400000;0.000000
1967-01;0.210509;0.264110;0.252284;0.115383;0.000000;0.000000;0.157714;0.000000;0.000000;0.000000
1967-02;0.000000;0.000000;0.000000;0.000000;0.000000;0.139980;0.049121;0.400000;0.010899;0.400000
1967-03;0.151073;0.087324;0.136953;0.079860;0.000000;0.112802;0.000000;0.006345;0.156695;0.268948
1967-04;0.199141;0.239678;0.367410;0.089528;0.075754;0.028489;0.000000;0.000000;0.000000;0.000000
1967-05;0.345683;0.018373;0.000000;0.000000;0.000000;0.000000;0.400000;0.216088;0.017185;0.002671
1967-06;0.062050;0.310737;0.000000;0.000000;0.000000;0.400000;0.000000;0.107255;0.063520;0.056437
1967-07;0.182707;0.000000;0.000000;0.000000;0.034248;0.014614;0.268715;0.187122;0.172945;0.139650
1967-08;0.081015;0.081378;0.125633;0.108001;0.051542;0.103683;0.084403;0.085503;0.092845;0.185996
1967-09;0.162854;0.050123;0.187177;0.081299;0.039861;0.088390;0.000000;0.000000;0.116363;0.273933
1967-10;0.000000;0.166005;0.055426;0.069419;0.000000;0.309150;0.400000;0.000000;0.000000;0.000000
1967-11;0.080335;0.063633;0.109397;0.082575;0.068528;0.227979;0.141747;0.000000;0.086568;0.139239
1967-12;0.000000;0.134972;0.400000;0.000000;0.000000;0.400000;0.000000;0.026591;0.020765;0.017672
1968-01;0.221780;0.400000;0.046234;0.001167;0.000000;0.137199;0.080429;0.113192;0.000000;0.000000
1968-02;0.400000;0.000000;0.000000;0.309981;0.000000;0.131014;0.059259;0.000000;0.001357;0.098388
1968-03;0.000000;0.254738;0.094376;0.196829;0.120017;0.137465;0.000000;0.053214;0.000000;0.143360
1968-04;0.000000;0.012251;0.000000;0.000000;0.284905;0.184068;0.132682;0.181034;0.100098;0.104962
1968-05;0.000000;0.000000;0.089809;0.159456;0.125791;0.239623;0.182709;0.081675;0.097313;0.023624
1968-06;0.206126;0.230206;0.206875;0.201482;0.085654;0.010320;0.000000;0.000000;0.000000;0.059338
1968-07;0.000000;0.400000;0.071268;0.000000;0.000000;0.000000;0.185859;0.000000;0.000000;0.342873
